start_date	start_datetime	end_datetime	merchant_type	product_family	product_category	product_subcategory	deal_type	deal_title	deal_landing_page	brand	product_name	asin	product_url	" asin_rating "	asin_reviews	deal_price	previous_price	discount_amount	discount_percentage
45012	45012.75	45014.99652777778	3P	Hardlines	Kitchen	30300 Floorcare Accessories	DEAL_OF_THE_DAY	Aspirapolvere senza fili!	https://www.amazon.it/dp/B09NM23W8W	Tineco	Tineco FLOOR ONE S5 Aspirapolvere Senza Fili Intelligente, Lavapavimenti, Smart App e Assistente Vocale, Pulizia per Pavimenti e Superfici Asciutti o Bagnati, Fino a 35 min, Ottimo per Peli di Animali	B094MJNN33	https://www.amazon.it/dp/B094MJNN33	4.5300756	1272	369	599	230	0.3839732888146911
45012	45012.75	45014.99998842592	Retail	Consumables	Personal_Care_Appliances	1200 Oral Care Appliances	DEAL_OF_THE_DAY	Prodotti Oral-B, Philips e altri per la tua igiene orale	https://www.amazon.it/deal/1ad51619?showVariations=true	Oral-B	Oral-B Pro 3 3900N Duo Pack, 2 Spazzolini Elettrici Ricaricabili, con 3 Testine Di Ricambio, Nero/Rosa	B0B4WQYYB2	https://www.amazon.it/dp/B0B4WQYYB2	4.6907277	16814	69.99	169.99	100	0.5882698982293076
45012	45012.75	45014.99652777778	3P	Hardlines	Sports	29000 Multisports	DEAL_OF_THE_DAY	Informatica ed accessori di elettronica!	https://www.amazon.it/dp/B08J7PQGD7	INIU	Power Bank, INIU Ultra Sottile & Leggero Powerbank 10000mAh Doppia Uscita 3A ad Alta Velocità, Porta USB C da Esterno Caricatore Portatile di Torcia per iPhone 14 13 12 Pro Max X 8 Samsung Huawei iPad	B07PNL5STG	https://www.amazon.it/dp/B07PNL5STG	4.58176399	35358	18.69	29.98	11.29	0.376584389593062
45012	45012.75	45014.99998842592	Retail	Consumables	Health & Personal Care	5200 Vitamins	DEAL_OF_THE_DAY	ZzzQuul	https://www.amazon.it/deal/9db0454f	Supradyn	Supradyn Energy Multivitaminico Caramelle, Integratore Multivitaminico Completo, con Vitamine A, B, C, D, E e Coenzima Q10, 70 Caramelle Gommose Multivitaminiche Gusto Ciliegia, Lampone e Arancia	B00F2J2Y2Q	https://www.amazon.it/dp/B00F2J2Y2Q	4.45422169	6620	7.99	15.1	7.11	0.47086092715231787
45012	45012.75	45014.99998842592	Retail	Consumables	Health & Personal Care	5200 Vitamins	DEAL_OF_THE_DAY	ZzzQuul	https://www.amazon.it/deal/9db0454f	ZzzQuil	ZzzQuil Natura, Melatonina, Integratore Per Dormire, con Melatonina pura ed Estratti Di Valeriana, Camomilla e Lavanda, Maxi Formato 2x72 Pastiglie Gommose, Gusto Frutti di Bosco	B09G74YQ3S	https://www.amazon.it/dp/B09G74YQ3S	4.599234	2206	33.99	51.99	18	0.3462204270051933
45012	45012.75	45014.99652777778	3P	Hardlines	Kitchen	30200 Floorcare	DEAL_OF_THE_DAY	Aspirapolvere Robot	https://www.amazon.it/dp/B092ZPSBJM	LEFANT	LEFANT Robot Aspirapolvere Lavapavimenti mini,6D Sensore di Collisione,Alexa/Google,Ottimo per i Peli degli Animali Domestici, Moquette e Pavimento duro,Aspirapolvere Robot-M213	B092ZPSBJM	https://www.amazon.it/dp/B092ZPSBJM	4.24340869	3263	139.98	299.99	160.01	0.5333844461482049
45012	45012.75	45014.99998842592	Retail	Consumables	Health & Personal Care	7000 Household Consumables	DEAL_OF_THE_DAY	Prodotti per la cura della casa	https://www.amazon.it/deal/4634affd?showVariations=true&moreDeals=c68cfabc	Swiffer	Swiffer Panni Catturapolvere Casa, 120 Panni Microfibra Dry, Panni Cattura Polvere E Sporco, Ottimo Per Tutti I Tipi Di Pavimenti E Per I Peli Di Animali, Maxi Formato,	B07639RBVJ	https://www.amazon.it/dp/B07639RBVJ	4.786711	7197	14.99	28.99	14	0.48292514660227664
45012	45012.791666666664	45014.99998842592	Retail	Hardlines	Kitchen	30100 Electric Cookware	DEAL_OF_THE_DAY	Elettrodomestici per la cucina	https://www.amazon.it/deal/36164ad3?showVariations=true	COSORI	COSORI Friggitrice ad Aria XXL 5,5 Litri con 100 Ricette Italiane, Air Fryer Risparmio Energetico, Senza Olio con 13 Funzioni su LED Display, Cestello Facile da Pulire, Senza PFOA, 1700W	B07N8N6C85	https://www.amazon.it/dp/B07N8N6C85	4.70785199	43335	118.99	139.99	21	0.15001071505107508
45012	45012.75	45014.99998842592	Retail	Hardlines	PC	900 Computing Accessories	DEAL_OF_THE_DAY	Razer	https://www.amazon.it/deal/908d6f12?showVariations=true	Logitech	Logitech Pebble Mouse wireless con Bluetooth o ricevitore da 2,4 GHz, mouse sottile per computer con clic silenziosi, per Laptop/Notebook/iPad/PC/Mac/Chromebook - Nero	B07VFJVPBR	https://www.amazon.it/dp/B07VFJVPBR	4.66673199	16659	14.99	29.99	15	0.500166722240747
45012	45012.75	45014.99998842592	Retail	Hardlines	Home	0400 Cookware	DEAL_OF_THE_DAY	Selezione di articoli per la cucina	https://www.amazon.it/deal/c6de6b38?showVariations=true&searchAlias=kitchen&moreDeals=4f0e01a1,b2ccf5e0	Lagostina	Lagostina Ingenio Mineralis Set di Pentole e Padelle Antiaderenti in Alluminio per Induzione, Gas e Forno, 10 Pezzi, Batteria con Casseruola Fonda, Padella, Tegame, Wok, 4 Coperchi, 2 Manici Amovibili	B082L35ZWV	https://www.amazon.it/dp/B082L35ZWV	4.62539099	943	124.9	229	104.1	0.454585152838428
45012	45012.75	45014.99652777778	3P	Hardlines	Electronics	5700 Cables	DEAL_OF_THE_DAY	Informatica ed accessori di elettronica!	https://www.amazon.it/dp/B08J7PQGD7	INIU	Cavo USB Type-C, INIU Cavo USB A a USB C 3.1A Ricarica Rapida [3Pezzi/0.5+2+2m] Lega Intrecciato in Nylon QC 3,0 Cavo Tipo C per Samsung S23 S22 Note 20 Xiaomi 11 Huawei Pixel 7 Pro Switch PS5 ECC.	B08J7PQGD7	https://www.amazon.it/dp/B08J7PQGD7	4.629995	9683	8.49	11.23	2.74	0.2439893143365984
45012	45012.75	45014.99998842592	Retail	Hardlines	Wireless	0100 Wireless Phones	DEAL_OF_THE_DAY	Smartphones, Wearables e Altra Telefonia	https://www.amazon.it/deal/bcd7c85f?showVariations=true	Google	Google Pixel 6a - Smartphone 5G Android sbloccato con fotocamera da 12 megapixel e batteria che dura 24 ore - Verde salvia	B0B4DMCF5W	https://www.amazon.it/dp/B0B4DMCF5W	4.38787099	4495	329	459	130	0.28322440087145967
